BCT2020,Population
1000100,0
1000201,2012
1000202,7266
1000500,5
1000600,11616
1000700,10542
1000800,10871
1000900,2016
1001001,1767
1001002,6300
1001200,3776
1001300,5402
1001401,3543
1001402,3418
1001501,8385
1001502,10378
1001600,7698
1001800,7934
1002000,4648
1002100,7811
1002201,6969
1002202,2488
1002400,4518
1002500,4630
1002601,3609
1002602,4816
1002700,1370
1002800,6819
1002901,1096
1002902,4359
1003001,4663
1003002,3035
1003100,2989
1003200,8372
1003300,6458
1003400,7012
1003601,3513
1003602,3000
1003700,3092
1003800,9070
1003900,7036
1004001,3743
1004002,5090
1004100,7523
1004200,5216
1004300,4158
1004400,17222
1004500,1093
1004700,2644
1004800,6955
1004900,4777
1005000,5223
1005200,3808
1005400,4909
1005501,4564
1005502,1956
1005600,4281
1005700,2998
1005800,5109
1005900,5707
1006000,5290
1006100,5494
1006200,3686
1006300,6707
1006400,8744
1006500,6721
1006600,12341
1006700,5547
1006800,7706
1006900,2799
1007001,4550
1007002,4865
1007100,5851
1007200,9358
1007300,6180
1007400,5698
1007500,4000
1007600,2921
1007700,6192
1007800,9109
1007900,4442
1008000,5906
1008100,7853
1008200,3414
1008300,3853
1008400,1985
1008601,4853
1008602,0
1008603,5347
1008700,6510
1008800,8852
1008900,5957
1009000,8830
1009100,7362
1009200,1866
1009300,9325
1009400,109
1009500,3892
1009600,608
1009700,5071
1009800,8078
1009901,2093
1009902,3848
1009903,2380
1010000,2170
1010100,2596
1010200,283
1010300,4095
1010400,983
1010601,8256
1010602,5489
1010801,3297
1010802,3805
1010803,2696
1010900,407
1011000,7671
1011100,6138
1011201,1233
1011202,500
1011203,1420
1011300,216
1011401,1361
1011402,2620
1011500,3863
1011600,3263
1011700,5256
1011800,9688
1011900,1666
1012000,3905
1012101,3408
1012102,5236
1012200,3425
1012400,10845
1012500,2901
1012601,7437
1012602,6400
1012700,7282
1012800,6545
1012901,7959
1012902,3144
1013000,3911
1013100,3962
1013201,3146
1013202,4237
1013203,3747
1013300,6782
1013400,11882
1013501,5504
1013502,6358
1013601,1962
1013602,5070
1013603,4387
1013604,5057
1013700,7308
1013800,13109
1013900,9988
1014000,8050
1014200,4463
1014300,129
1014401,5040
1014402,7151
1014500,7532
1014601,4481
1014602,9061
1014700,2987
1014801,3221
1014802,7494
1014900,6351
1015001,2321
1015002,5642
1015101,3756
1015102,8254
1015200,7730
1015301,3684
1015302,6032
1015401,5189
1015402,4503
1015403,5738
1015501,5091
1015502,5759
1015601,5568
1015602,2154
1015700,11197
1015801,5600
1015802,4516
1015900,10054
1016001,3852
1016002,3607
1016100,6617
1016200,9033
1016300,7292
1016400,7371
1016500,6659
1016600,7012
1016700,7210
1016800,4964
1016900,8526
1017000,7991
1017100,9694
1017200,5441
1017300,8699
1017401,5449
1017402,2276
1017500,11110
1017700,9382
1017800,3860
1017900,9103
1018000,7429
1018100,8941
1018200,7675
1018300,8534
1018400,7820
1018500,5243
1018600,5127
1018700,9383
1018800,5697
1018900,11556
1019000,3679
1019100,9005
1019200,3971
1019300,8736
1019400,6978
1019500,7828
1019600,4031
1019701,1278
1019702,2601
1019800,2370
1019900,9598
1020000,2855
1020101,1863
1020102,4077
1020300,3874
1020500,5023
1020600,3628
1020701,3035
1020800,5255
1020901,3665
1021000,6748
1021100,10529
1021200,4899
1021303,5583
1021400,3075
1021500,3856
1021600,8567
1021703,545
1021800,6530
1021900,5696
1022000,6114
1022102,2382
1022200,3293
1022301,7258
1022302,3101
1022400,7346
1022500,9895
1022600,4890
1022700,5387
1022800,5961
1022900,7975
1023000,9111
1023100,6273
1023200,8061
1023300,6368
1023400,5112
1023501,6720
1023502,2206
1023600,9907
1023700,6792
1023802,4791
1023803,3625
1023804,3306
1023900,2675
1024000,1302
1024100,7612
1024200,4448
1024301,3993
1024302,7237
1024500,13385
1024700,6521
1024900,1084
1025100,2287
1025300,10081
1025500,5697
1025700,4270
1025900,4029
1026100,10733
1026300,7969
1026500,6850
1026700,2083
1026900,7848
1027100,7623
1027300,6519
1027500,3063
1027700,6423
1027900,10019
1028100,3108
1028300,7740
1028500,6794
1028700,3772
1029100,10509
1029300,8035
1029500,7039
1029700,16
1029900,3598
1030300,3691
1030700,3427
1030900,8594
1031100,12
1031703,5847
1031704,10422
1031900,3
2000100,3772
2000200,4779
2000400,6272
2001600,5795
2001901,2292
2001902,1613
2001903,2
2001904,0
2002001,5007
2002002,4584
2002300,4742
2002400,6
2002500,5442
2002701,3080
2002702,4995
2002800,5853
2003100,2964
2003300,3689
2003500,3726
2003700,340
2003800,1683
2003900,6345
2004001,1739
2004100,6146
2004200,7201
2004300,5883
2004400,4642
2004600,1976
2004800,4184
2005001,4960
