group_unique,productgroup,product,company,founded,acquired,YCgrad
AdSense,Other,Google Pixel,HTC (portions),1997,2017,
Android,AdSense,AdWords,Pyra Labs,1998,2003,
Cloud,GSuite,Gmail,Applied Semantics,1998,2003,
Developers,GSuite,Google Chrome,Marratech,1998,2007,
GSuite,GSuite,Google Groups,Applied Semantics,1998,2003,
Maps,GSuite,Google Voice,Widevine Technologies,1998,2010,
Other,GSuite,Google Hangouts,Tonic Systems,1999,2007,
Play,GSuite,Google Talk,Tonic Systems,1999,2007,
Search,X (Google X),X,Channel Intelligence,1999,2013,
X (Google X),Other,Google Mobile,Dodgeball,2000,2005,
YouTube,Other,Internet backbone,Reqwireless,2001,2005,
,AdSense,Google Analytics,dMarc Broadcasting,2002,2006,
,Other,Blogger,Ignite Logic,2003,2004,
,AdSense,DoubleClick,Gizmo5,2003,2009,
,Other,FeedBurner,Panoramio,2003,2007,
,Android,Gboard,Ignite Logic,2003,2004,
,GSuite,Google Docs,Teracent,2003,2009,
,Other,Google Fiber,Webpass,2003,2016,
,Android,Google Goggles,2Web Technologies,2003,2006,
,GSuite,Google Images,Tenor,2003,2018,
,GSuite,Google Wave,Teracent,2003,2009,
,AdSense,Invite Media,Gizmo5,2003,2009,
,GSuite,Picasa,Ignite Logic,2003,2004,
,Developers,Skia,Android,2003,2005,
,Android,Android,FeedBurner,2004,2007,
,Other,Google Desktop,Skia,2004,2005,
,Maps,Google Earth,Where2,2004,2004,
,Other,Google Sketchup,Upstartle,2004,2006,
,Other,WebM,TNC,2004,2009,
,YouTube,YouTube,TNC,2004,2009,
,GSuite,Google Docs,Meebo,2005,2012,
,YouTube,Google Sites,YouTube,2005,2006,
,Other,Project Zero,SayNow,2005,2011,
,Cloud,Tensor processing unit,Provino,2005,2021,
,GSuite,Gmail,GrandCentral,2006,2007,
,Maps,Google Maps,Zave Networks,2006,2011,
,Other,Google Offers,Viewdle,2006,2012,
,GSuite,Google Places,Zave Networks,2006,2011,
,Android,Messages,Jibe Mobile,2006,2015,
,Maps,Waze,Makani Power,2006,2013,
,Search,Aardvark,AppJet,2007,2010,2007
,Android,Android TV,Songza,2007,2014,
,Android,Android TV,Admeld,2007,2011,
,Maps,Android Wear,Waze,2007,2013,
,Other,Blogger,Omnisio,2007,2008,2008
,Cloud,Chronicle,Wildfire Interactive,2007,2012,
,GSuite,Google Duo,Limes Audio,2007,2017,
,Other,Google Fiber,Admeld,2007,2011,
,Search,Google Search,Invite Media,2007,2010,
,AdSense,Google TV,Admeld,2007,2011,
,Developers,Google Web Toolkit,Zetawire,2007,2010,
,Android,Wear OS,Fitbit,2007,2021,
,Developers,WebRTC,BumpTop,2007,2010,
,YouTube,YouTube,DocVerse,2007,2010,
,Search,Google Alert,SocialDeck,2008,2010,
,AdSense,Google Analytics AdSense,Adometry,2008,2014,
,Search,Google Flights,PushLife,2008,2011,
,Android,Google Goggles,Episodic,2008,2010,
,Search,Google Translate,Quest Visual,2009,2014,
,AdSense,Google+ Google Analytics,DailyDeal,2009,2011,
,Search,iGoogle,Agnilux,2009,2010,
,Other,Nest Labs,Dropcam,2009,2014,
,X (Google X),Project Loon,Skybox Imaging,2009,2014,
,GSuite,Spaces,Pie,2009,2016,
,X (Google X),X,Wavii,2009,2013,
,Android,Android,Flutter,2010,2013,2012
,Android,Android for Work,Divide,2010,2014,
,Search,Google,Sparrow,2010,2012,
,Other,Google DeepMind,DeepMind Technologies,2010,2014,
,Play,Google Play,Agawi,2010,2015,
,GSuite,Google+,Sparrow,2010,2012,
,X (Google X),Intrinsic,Vicarious,2010,2022,
,Other,Verily,Lift Labs,2010,2014,
,X (Google X),X,Flutter,2010,2013,2012
,YouTube,YouTube for Kids,Launchpad Toys,2010,2015,2011
,AdSense,AdSense,spider.io,2011,2014,
,Android,Android Pay,Softcard,2011,2015,
,Other,Chrome OS Flex,Neverware,2011,2020,
,Android,Google Checkout,Milk,2011,2012,
,Search,Google Shopping,BufferBox,2011,2013,2012
,Android,Google Wallet,Milk,2011,2012,
,GSuite,Google Workspace,Playspace,2011,2021,
,Maps,Street View,Digisfera,2011,2015,
,GSuite,Google Calendar,Timeful,2012,2015,
,Cloud,Google Cloud,DNNresearch,2012,2013,
,GSuite,Google for Education,BrightBytes,2012,2022,
,GSuite,Google Hangouts,Emu,2012,2014,
,GSuite,Google Inbox,Timeful,2012,2015,
,Developers,Google Knowledge Graph,Behavio,2012,2013,
,Other,Google My Business,Appetas,2012,2014,
,Search,Google Now,Emu,2012,2014,
,Play,Google Play Books,Oyster,2012,2015,
,Other,Pixel Buds,Dysonics,2012,2021,
,X (Google X),Project Loon,Titan Aerospace,2012,2014,
,Maps,Google Maps,Pointy,2014,2020,
,Developers,Firebase,Fabric,2015,2017,2016
,Play,Google Play Music,60db,2016,2017,
