unique product,Company,Founded yr,Acq year,YC grad year,Company,Founded yr,Acq year,YC grad year,Company,Founded yr,Acq year,YC grad year
Aardvark,AppJet,2007,2010,2007,,,,,,,,
Accelerated Mobile Pages,Relay Media,,2017,,,,,,,,,
AdSense,Endoxon,1988,2007,,spider.io,2011,2014,,,,,
AdWords,,,,,Pyra Labs,1998,2003,,,,,
Android,FeedBurner,2004,2007,,Flutter,2010,2013,2012,,,,
Android for Work,Divide,2010,2014,,,,,,,,,
Android Pay,Softcard,2011,2015,,,,,,,,,
Android TV,,,,,Songza,2007,2014,,Admeld,2007,2011,
Android Wear,Waze,2007,2013,,,,,,,,,
Blogger,Omnisio,2007,2008,2008,Ignite Logic,2003,2004,,,,,
Chrome OS Flex,Neverware,2011,2020,,,,,,,,,
Chronicle,Wildfire Interactive,2007,2012,,,,,,,,,
DoubleClick,Gizmo5,2003,2009,,,,,,,,,
FeedBurner,Panoramio,2003,2007,,,,,,,,,
Firebase,Fabric,2015,2017,2016,,,,,,,,
Gboard,,,,,Tenor,2003,2018,,,,,
Gmail,GrandCentral,2006,2007,,Applied Semantics,1998,2003,,,,,
Google,Sparrow,2010,2012,,,,,,,,,
Google Alert,,,,,SocialDeck,2008,2010,,,,,
Google Analytics,dMarc Broadcasting,2002,2006,,,,,,,,,
Google Analytics AdSense,Adometry,2008,2014,,,,,,,,,
Google Assistant,Superpod,,2019,,,,,,,,,
Google Books,On2,1992,2009,,,,,,,,,
Google Calendar,,,,,Timeful,2012,2015,,,,,
Google Cardboard,Thrive Audio,,2015,,,,,,,,,
Google Checkout,,,,,Milk,2011,2012,,Metaweb,,2010,
Google Chrome,Marratech,1998,2007,,,,,,,,,
Google Classroom,Workbench Education,,2018,,,,,,,,,
Google Cloud,DNNresearch,2012,2013,,,,,,,,,
Google Cloud Platform,Orbitera,,2016,,,,,,,,,
Google DeepMind,DeepMind Technologies,2010,2014,,,,,,,,,
Google Desktop,Skia,2004,2005,,,,,,,,,
Google Docs,Meebo,2005,2012,,Teracent,2003,2009,,,,,
Google Duo,Limes Audio,2007,2017,,,,,,,,,
Google Earth,,,,,Where2,2004,2004,,,,,
Google Fiber,Webpass,2003,2016,,Admeld,2007,2011,,,,,
Google Flights,PushLife,2008,2011,,,,,,,,,
Google for Education,BrightBytes,2012,2022,,,,,,,,,
Google Goggles,Episodic,2008,2010,,2Web Technologies,2003,2006,,,,,
Google Groups,Applied Semantics,1998,2003,,,,,,,,,
Google Hangouts,Emu,2012,2014,,Tonic Systems,1999,2007,,,,,
Google Images,Tenor,2003,2018,,,,,,,,,
Google Inbox,Timeful,2012,2015,,,,,,,,,
Google Knowledge Graph,Behavio,2012,2013,,,,,,,,,
Google Latitude,Urchin Software Corporation,,2005,,,,,,,,,
Google Maps,Pointy,2014,2020,,Zave Networks,2006,2011,,,,,
Google Mobile,Dodgeball,2000,2005,,,,,,,,,
Google My Business,Appetas,2012,2014,,,,,,,,,
Google Now,Talaria Technologies,,2013,,Emu,2012,2014,,,,,
Google Offers,Viewdle,2006,2012,,,,,,,,,
Google Personalized Search,DejaNews,,2001,,,,,,,,,
Google Photos,Bump,,2013,2009,,,,,,,,
Google Pixel,HTC (portions),1997,2017,,,,,,,,,
Google Places,Zave Networks,2006,2011,,,,,,,,,
Google Play,Green Parrot Pictures,,2011,,Agawi,2010,2015,,Instantiations,1988,2010,
Google Play Books,Oyster,2012,2015,,,,,,,,,
Google Play Music,60db,2016,2017,,,,,,,,,
Google Podcasts,,,,,60db,2016,2017,,,,,
Google Search,Invite Media,2007,2010,,,,,,,,,
Google Shopping,BufferBox,2011,2013,2012,,,,,,,,
Google Sites,YouTube,2005,2006,,,,,,,,,
Google Sketchup,Upstartle,2004,2006,,,,,,,,,
Google Spreadsheet,Orion,,2006,,,,,,,,,
Google Talk,Tonic Systems,1999,2007,,,,,,,,,
Google Translate,Quest Visual,2009,2014,,Widevine Technologies,1998,2010,,,,,
Google TV,Admeld,2007,2011,,Dealmap,,2011,,,,,
Google Voice,Widevine Technologies,1998,2010,,,,,,,,,
Google Wallet,Milk,2011,2012,,Metaweb,,2010,,,,,
Google Wave,Teracent,2003,2009,,,,,,,,,
Google Web Toolkit,Zetawire,2007,2010,,,,,,,,,
Google Workspace,Playspace,2011,2021,,,,,,,,,
Google+,Slide.com,,2010,,Sparrow,2010,2012,,,,,
Google+ Google Analytics,DailyDeal,2009,2011,,,,,,,,,
iGoogle,Agnilux,2009,2010,,,,,,,,,
Internet backbone,Reqwireless,2001,2005,,,,,,,,,
Intrinsic,Vicarious,2010,2022,,,,,,,,,
Invite Media,,,,,Gizmo5,2003,2009,,,,,
Messages,Jibe Mobile,2006,2015,,,,,,,,,
Nest Labs,Dropcam,2009,2014,,,,,,,,,
Orkut,,,,,Slide.com,,2010,,,,,
Panoramio,Crusix,,2007,,,,,,,,,
Patent portfolio,,,,,,,,,Dealmap,,2011,
Picasa,Ignite Logic,2003,2004,,,,,,,,,
Pixel Buds,Dysonics,2012,2021,,,,,,,,,
Project Loon,Titan Aerospace,2012,2014,,Skybox Imaging,2009,2014,,,,,
Project Zero,SayNow,2005,2011,,,,,,,,,
reCAPTCHA,,,,,On2,1992,2009,,,,,
Skia,Android,2003,2005,,,,,,,,,
Spaces,Pie,2009,2016,,,,,,,,,
Stadia,Typhoon Studios,,2019,,,,,,,,,
Street View,Digisfera,2011,2015,,,,,,,,,
Tensor processing unit,Provino,2005,2021,,,,,,,,,
Tilt Brush,Skillman & Hackett,,2015,,,,,,,,,
Verily,Lift Labs,2010,2014,,,,,,,,,
Waze,,,,,Makani Power,2006,2013,,,,,
Wear OS,Fitbit,2007,2021,,,,,,,,,
WebM,TNC,2004,2009,,,,,,,,,
WebRTC,BumpTop,2007,2010,,,,,,,,,
X,Wavii,2009,2013,,Channel Intelligence,1999,2013,,Flutter,2010,2013,2012
YouTube,DocVerse,2007,2010,,TNC,2004,2009,,,,,
YouTube for Kids,Launchpad Toys,2010,2015,2011,,,,,,,,
